species,sites,migratory
Agelaius_phoeniceus,7,Some
Anser_albifrons,5,Yes
Aphelocoma_californica,30,No
Branta_canadensis,1,Some
Branta_hutchinsii,1,Some
Calidris_alpina,3,Yes
Campylorhynchus_brunneicapillus,12,No
Charadrius_melodus,7,Yes
Charadrius_montanus,4,Yes
Charadrius_nivosus,2,Some
Charadrius_vociferus,2,Yes
Chen_canagica,3,Yes
Clangula_hyemalis,7,Some
Falco_peregrinus,8,Yes
Junco_hyemalis,1,Some
Laterallus_jamaicensis,2,Unknown
Poecile_atricapillus,40,No
Poecile_hudsonicus,13,No
Rallus_obsoletus,7,No
Selasphorus_platycercus,6,Yes
Setophaga_caerulescens,1,Yes
Sialia_sialis,4,Some
Strix_occidentalis,17,No
Tyto_alba,10,No
Vireo_atricapilla,3,Yes
